lat lon year gmt avg zspeed urban
41.33 19.82 2026 2 60 10 1
day time u30m u10m u2m solar Pair RHair Tair dT30_2 dT10_2
256 0300 3.0 2.1 1.2 0.0 1004.0 88.0 19.5 1.2 0.8
256 0600 2.5 1.6 0.9 12.0 1004.2 90.0 18.9 0.6 0.4
256 0800 3.2 2.4 1.5 310.0 1004.5 80.0 21.8 -0.3 -0.2
256 1000 4.0 3.1 2.0 640.0 1004.1 72.0 23.9 -0.8 -0.5
256 1100 4.8 3.9 2.6 760.0 1003.9 64.0 25.6 -1.0 -0.7
256 1300 6.1 5.2 3.4 880.0 1003.4 48.0 28.2 -1.2 -0.9
256 1500 7.0 6.3 4.1 700.0 1003.1 44.0 28.8 -1.0 -0.8
256 1700 5.2 4.4 2.9 360.0 1003.0 50.0 27.4 -0.4 -0.3
256 1900 3.1 2.2 1.3 30.0 1003.2 62.0 24.6 0.5 0.3
256 2200 2.0 1.1 0.6 0.0 1003.6 76.0 21.7 1.4 1.0
